Number,Title,Mood,Length,Familiarity,Limited,Easter,Patriotic,Pioneer,Thanksgiving,Christmas,NewYear,Sacrament,Fasting,Closing,Dismiss
207,It Came upon the Midnight Clear,Brightly,3,4,x,,,,,x,,,,,
208,O Little Town of Bethlehem,Peacefully,3,4,x,,,,,x,,,,,
209,Hark! The Herald Angels Sing,Vigorously,2,5,x,,,,,x,,,,,
210,With Wondering Awe,Brightly,3,3,x,,,,,x,,,,,
211,While Shepherds Watched Their Flocks,Vigorously,2,3,x,,,,,x,,,,,
212,"Far, Far Away on Judea’s Plains",Joyfully,2,4,x,,,,,x,,,,,
213,The First Noel,Jubilantly,2,4,x,,,,,x,,,,,
214,I Heard the Bells on Christmas Day,Thoughtfully,3,4,x,,,,,x,,,,,
215,"Ring Out, Wild Bells",Fervently,2,3,x,,,,,,x,,,,
216,We Are Sowing,Resolutely,3,2,,,,,,,,,,,
217,"Come, Let Us Anew",Resolutely,3,3,,,,,,,x,,,,
218,We Give Thee But Thine Own,Thankfully,2,2,,,,,x,,,,,,
219,Because I Have Been Given Much*,Gently,3,5,,,,,x,,,,x,,
220,"Lord, I Would Follow Thee",Gently,3,5,,,,,,,,,,,
221,Dear to the Heart of the Shepherd,Calmly,6,3,,,,,,,,,,,
222,"Hear Thou Our Hymn, O Lord",Fervently,1,2,,,,,,,,,,,
223,Have I Done Any Good?,Brightly,3,4,,,,,,,,,,,
224,I Have Work Enough to Do,Energetically,2,2,,,,,,,,,,,
225,We Are Marching On to Glory,Vigorously,2,3,,,,,,,,,,,
226,Improve the Shining Moments,Lightly,2,4,,,,,,,,,,,
227,There Is Sunshine in My Soul Today,Joyfully,3,5,,,,,,,,,,,
228,You Can Make the Pathway Bright,Brightly,3,4,,,,,,,,,,,
229,"Today, While the Sun Shines",Vigorously,3,4,,,,,,,,,,,
230,Scatter Sunshine,Cheerfully,3,4,,,,,,,,,,,
231,"Father, Cheer Our Souls Tonight",Thoughtfully,2,1,,,,,,,,,,,
232,Let Us Oft Speak Kind Words,Earnestly,3,4,,,,,,,,,,,
233,"Nay, Speak No Ill",Thoughtfully,3,2,,,,,,,,,,,
234,"Jesus, Mighty King in Zion",With dignity,2,1,,,,,,,,,,,
235,Should You Feel Inclined to Censure,Thoughtfully,2,3,,,,,,,,,,,
236,"Lord, Accept into Thy Kingdom",Exultantly,3,2,,,,,,,,,,,
237,Do What Is Right,Resolutely,3,4,,,,,,,,,,,x
238,"Behold Thy Sons and Daughters, Lord",Prayerfully,2,1,,,,,,,,,,,
239,Choose the Right,Brightly,3,5,,,,,,,,,,,x
240,"Know This, That Every Soul Is Free",Earnestly,2,3,,,,,,,,,,,
241,Count Your Blessings,Brightly,3,5,,,,,x,,,,,,
